hour,events,bars,rate,pooled_rate,lift,p_raw,p_fdr,ci_lo,ci_hi
0,274,3120,0.08782051282051281,0.0725725658870203,1.2101062122735229,0.0013250343591228787,0.0028909840562680988,0.07788461538461539,0.09775641025641026
1,245,3120,0.07852564102564102,0.0725725658870203,1.0820292773978581,0.20161291883527244,0.2304147643831685,0.06891025641025642,0.08814102564102565
2,198,3120,0.06346153846153846,0.0725725658870203,0.8744563139786772,0.04919970088717713,0.06559960118290284,0.05480769230769231,0.07211538461538461
3,167,3120,0.05352564102564102,0.0725725658870203,0.7375464870426217,2.146666125101396e-05,6.439998375304188e-05,0.04583333333333333,0.061217948717948716
4,167,3120,0.05352564102564102,0.0725725658870203,0.7375464870426217,2.146666125101396e-05,6.439998375304188e-05,0.04551282051282051,0.060897435897435896
5,125,3120,0.04006410256410257,0.0725725658870203,0.5520557537744175,4.1860519628787004e-14,3.3488415703029603e-13,0.03364583333333333,0.046794871794871795
6,164,3120,0.052564102564102565,0.0725725658870203,0.7242971489520357,8.250060615467419e-06,3.3000242461869676e-05,0.04487179487179487,0.06057692307692308
7,163,3119,0.05226033985251683,0.0725725658870203,0.7201115078923186,5.93417816608427e-06,2.8484055197204494e-05,0.04455128205128205,0.059955594536249816
8,183,3119,0.058672651490862454,0.0725725658870203,0.808468748124505,0.0023716024684606925,0.004743204936921385,0.05064102564102564,0.06677901335555828
9,195,3119,0.06252003847386983,0.0725725658870203,0.8614830922638168,0.029659756422770377,0.04448963463415556,0.05386341776210324,0.07083390109009298
10,197,3119,0.0631612696377044,0.0725725658870203,0.8703188162870354,0.041741422452479665,0.058929066991736,0.054824825202851014,0.07179544725873677
11,189,3119,0.06059634498236614,0.0725725658870203,0.8349759201941609,0.009594673662379,0.017713243684392,0.05226033985251683,0.06897658004491498
12,238,3119,0.07630650849631292,0.0725725658870203,1.0514511587630173,0.4272186769040065,0.4457934019867894,0.06735086593970493,0.08627325208466965
13,284,3119,0.09105482526450785,0.0725725658870203,1.254672811297046,0.0001251533728334841,0.0003337423275559576,0.08047451106123758,0.10131452388586085
14,369,3119,0.11830714972747676,0.0725725658870203,1.630191082283838,9.059991080564387e-20,2.034753139225359e-18,0.10619014880080824,0.13001885520846193
15,368,3119,0.11798653414555947,0.0725725658870203,1.6257732202722286,1.6956276160211325e-19,2.034753139225359e-18,0.10705128205128205,0.12897507619505932
16,322,3119,0.10323821737736454,0.0725725658870203,1.4225515677382,4.6117427873348175e-10,2.7670456724008903e-09,0.09233728759217698,0.11445976274446938
17,276,3119,0.0884899006091696,0.0725725658870203,1.2193299152041714,0.0009114548160042529,0.0021874915584102067,0.07852564102564102,0.09871794871794871
18,247,3119,0.07919204873356846,0.0725725658870203,1.0912119168675014,0.1569757724924388,0.19828518630623848,0.0698941968579673,0.08913113177300416
19,245,3119,0.0785508175697339,0.0725725658870203,1.0823761928442828,0.20151023746942093,0.2304147643831685,0.06835577161390938,0.08814173212568131
20,212,3119,0.06797050336646361,0.0725725658870203,0.9365867464611752,0.3339764702965785,0.36433796759626746,0.05929487179487179,0.07660256410256411
21,193,3119,0.06187880731003527,0.0725725658870203,0.8526473682405982,0.02071544978420877,0.033144719654734034,0.05355954503846873,0.06991773511047288
22,190,3119,0.060916960564283425,0.0725725658870203,0.8393937822057702,0.011706143015986646,0.020067673741691393,0.052884615384615384,0.06926042360306144
23,222,3119,0.07117665918563643,0.0725725658870203,0.9807653665772684,0.809068981877517,0.809068981877517,0.06281350224502887,0.08044936277653095
