timestamp,open,high,low,close,volume
1514764800,13880.00,13906.37,13600.26,13668.52,275.55502385
1514768400,13635.06,13704.42,13312.94,13355.00,393.34452404
1514772000,13355.00,13536.88,13302.02,13429.08,194.32790231
1514775600,13407.98,13640.00,13321.90,13481.73,317.53737530
1514779200,13481.73,13699.14,13372.41,13697.00,457.69139748
1514782800,13681.04,13697.00,13483.05,13569.99,209.56018142
1514786400,13569.36,13940.00,13483.00,13875.82,386.59517525
1514790000,13863.32,13941.75,13643.17,13660.56,135.79952593
1514793600,13660.56,13778.38,13429.03,13499.90,138.61517504
1514797200,13499.90,13667.93,13459.66,13612.00,111.38916195
1514800800,13618.78,13618.81,13500.00,13548.46,135.66958322
1514804400,13596.36,13596.36,13112.01,13303.35,527.36824266
1514808000,13303.28,13409.20,13209.94,13250.35,423.81949241
1514811600,13318.54,13318.54,13000.00,13118.56,660.19002610
1514815200,13118.54,13229.56,12801.38,13229.56,713.11213982
1514818800,13221.76,13362.35,13129.53,13276.78,405.51517514
1514822400,13276.00,13283.76,13032.84,13051.36,356.39094323
1514826000,13052.35,13249.65,13052.35,13085.99,145.76069742
1514829600,13063.50,13328.65,13040.46,13189.36,121.08038754
1514833200,13189.08,13300.00,13099.34,13271.26,226.09664935
1514836800,13271.26,13558.80,13256.76,13444.00,456.87318484
1514840400,13444.00,13734.44,13444.00,13534.98,381.66481055
1514844000,13532.87,13660.00,13466.79,13478.50,219.84594721
1514847600,13496.39,13520.11,13372.33,13443.41,294.22796254
1514851200,13394.20,13918.01,13394.20,13798.22,608.56377942
1514854800,13794.58,13860.00,13631.95,13631.95,304.12533640
1514858400,13631.95,13676.61,13462.82,13550.29,619.53292213
1514862000,13572.03,13572.03,13295.79,13359.98,456.01589405
1514865600,13355.78,13393.97,12910.58,13155.92,1040.47514683
1514869200,13118.10,13196.57,12999.26,13154.19,707.76734788
1514872800,13154.18,13378.42,13066.27,13370.00,344.85555533
1514876400,13370.00,13429.25,13226.33,13424.01,303.43768808
1514880000,13424.01,13588.53,13378.51,13437.71,553.54777726
1514883600,13417.21,13642.00,13417.21,13571.39,710.36049874
1514887200,13571.39,13700.20,13534.18,13650.18,395.19574709
1514890800,13687.52,13687.63,13503.65,13578.80,227.00878694
1514894400,13578.80,13683.69,13519.59,13630.98,266.16942571
1514898000,13589.31,14073.74,13560.72,14010.53,1099.86308299
1514901600,13978.83,14019.21,13811.00,13847.03,488.89603212
1514905200,13834.05,13907.38,13647.54,13714.88,372.43108092
1514908800,13714.82,13931.41,13650.00,13689.09,331.44357688
1514912400,13693.65,13920.00,13645.29,13905.00,504.41107646
1514916000,13909.75,14780.26,13872.87,14596.11,2100.86362148
1514919600,14596.68,15257.53,14570.45,14815.00,1688.27734259
1514923200,14836.00,15200.00,14815.00,14839.76,838.96387361
1514926800,14839.76,15000.00,14700.00,14802.00,653.09599278
1514930400,14802.00,15026.19,14727.51,14787.00,412.66714730
1514934000,14783.55,14914.05,14582.64,14678.94,1271.70056980
1514937600,14670.96,15015.24,14574.03,14848.91,714.12022128
1514941200,14800.21,14884.62,14700.68,14750.01,259.37652370
1514944800,14756.19,15045.09,14700.00,14956.60,582.51617052
1514948400,14960.74,15227.00,14839.76,14861.15,514.38204128
1514952000,14860.13,15150.00,14851.03,15072.85,190.22743502
1514955600,15072.85,15145.00,14979.01,15025.18,265.78096754
1514959200,15025.42,15385.00,15004.36,15370.00,557.28064643
1514962800,15370.00,15400.00,15209.95,15241.27,221.84007531
1514966400,15286.52,15500.00,15070.97,15075.19,718.54250170
1514970000,15075.04,15126.73,14767.47,14812.60,588.75892892
1514973600,14839.96,14936.95,14546.28,14735.27,619.67995879
1514977200,14730.00,14914.05,14723.50,14914.05,397.45341225
1514980800,14907.72,14951.34,14582.74,14601.08,389.83633588
1514984400,14600.01,14988.72,14600.00,14972.99,555.46569528
1514988000,14972.99,15101.41,14843.10,14847.83,744.97832293
1514991600,14888.00,15133.59,14859.39,15133.59,398.22377720
1514995200,15126.29,15241.45,15080.21,15111.00,448.73135546
1514998800,15111.00,15194.61,14873.67,14921.06,648.66172295
1515002400,14921.05,14985.67,14780.00,14834.30,562.11786862
1515006000,14822.12,14941.68,14751.90,14761.42,480.27230785
1515009600,14761.42,15035.00,14732.43,14999.88,542.31565486
1515013200,14948.00,15099.17,14921.00,15074.97,564.21771771
1515016800,15027.10,15074.97,14802.43,14821.57,754.50961820
1515020400,14821.57,15170.52,14788.03,15155.62,555.71193700
1515024000,15155.62,15180.27,15000.00,15103.97,426.14526469
1515027600,15150.67,15396.68,14963.69,15350.06,786.05103039
